CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,RFM_String,RuleSegment,AvgBasketValue,AvgQtyPerInvoice,UniqueProducts,Tenure,PurchaseInterval,KMeans_Cluster,Hier_Cluster,DBSCAN_Cluster,Segment
12346,326,1,77183.6,1,1,5,7,115,Others,77183.6,74215.0,1,326,326.0,1,0,-1,Champions
12347,2,7,4310.0,5,5,5,15,555,Champions,615.7142857142859,13.505494505494505,103,367,52.42857142857143,1,1,0,Champions
12348,75,4,1797.24,2,4,4,10,244,At Risk,449.31,75.51612903225806,22,358,89.5,1,0,0,Champions
12349,19,1,1757.55,4,1,4,9,414,New / Promising,1757.5500000000002,8.643835616438356,73,19,19.0,2,2,-1,Need Attention
12350,310,1,334.4,1,1,2,4,112,Hibernating,334.40000000000003,11.588235294117647,17,310,310.0,0,0,0,At Risk (used to be loyal)
12352,36,8,2506.04,3,5,5,13,355,Loyal,313.25500000000005,6.305882352941176,59,297,37.125,1,1,0,Champions
12353,204,1,89.0,1,1,1,3,111,Hibernating,89.0,5.0,4,204,204.0,0,0,0,At Risk (used to be loyal)
12354,232,1,1079.4,1,1,4,6,114,Others,1079.3999999999999,9.137931034482758,58,232,232.0,0,0,0,At Risk (used to be loyal)
12355,214,1,459.4,1,1,2,4,112,Hibernating,459.4,18.46153846153846,13,214,214.0,0,0,0,At Risk (used to be loyal)
12356,23,3,2811.43,4,3,5,12,435,Others,937.1433333333333,26.966101694915253,53,326,108.66666666666667,1,0,0,Champions
12357,33,1,6207.67,4,1,5,10,415,New / Promising,6207.67,20.671755725190838,131,33,33.0,1,0,-1,Champions
12358,2,2,1168.06,5,2,4,11,524,New / Promising,584.03,13.052631578947368,13,151,75.5,2,1,0,Need Attention
12359,58,4,6372.58,3,4,5,12,345,Loyal,1593.145,6.540322580645161,214,332,83.0,1,1,0,Champions
12360,52,3,2662.06,3,3,5,11,335,Need Attention,887.3533333333334,9.031007751937985,105,201,67.0,1,1,0,Champions
12361,287,1,189.9,1,1,1,3,111,Hibernating,189.89999999999998,9.1,10,287,287.0,0,0,0,At Risk (used to be loyal)
12362,3,10,5226.23,5,5,5,15,555,Champions,522.6229999999999,8.3796992481203,201,296,29.6,1,1,0,Champions
12363,110,2,552.0,2,2,3,7,223,Others,276.0,17.73913043478261,23,242,121.0,0,0,0,At Risk (used to be loyal)
12364,8,4,1313.1,5,4,4,13,544,Champions,328.27500000000003,17.71764705882353,70,112,28.0,1,1,0,Champions
12365,291,2,641.38,1,2,3,6,123,Others,320.68999999999994,7.909090909090909,22,291,145.5,0,0,0,At Risk (used to be loyal)
12367,4,1,168.9,5,1,1,7,511,New / Promising,168.89999999999998,15.727272727272727,11,4,4.0,2,2,1,Need Attention
12370,51,4,3545.69,3,4,5,12,345,Loyal,886.4224999999999,14.089820359281438,143,360,90.0,1,1,0,Champions
12371,45,2,1887.96,3,2,4,9,324,Need Attention,943.98,9.380952380952381,63,60,30.0,2,1,0,Need Attention
12372,72,3,1298.04,3,3,4,10,334,Need Attention,432.68000000000006,15.26923076923077,34,297,99.0,0,0,0,At Risk (used to be loyal)
12373,311,1,364.6,1,1,2,4,112,Hibernating,364.6,14.071428571428571,14,311,311.0,0,0,0,At Risk (used to be loyal)
12374,25,1,742.9300000000001,4,1,3,8,413,New / Promising,742.93,10.363636363636363,33,25,25.0,2,2,0,Need Attention
12375,11,2,457.5,5,2,2,9,522,New / Promising,228.75,10.470588235294118,14,98,49.0,2,1,0,Need Attention
12377,315,2,1628.12,1,2,4,7,124,Others,814.06,12.25974025974026,72,355,177.5,0,0,0,At Risk (used to be loyal)
12378,130,1,4008.62,2,1,5,8,215,Others,4008.62,11.547945205479452,219,130,130.0,1,0,-1,Champions
12379,82,2,852.24,2,2,3,7,223,Others,426.12,10.175,39,170,85.0,0,0,0,At Risk (used to be loyal)
12380,22,4,2724.81,4,4,5,13,445,Champions,681.2025000000001,10.836538461538462,77,186,46.5,1,1,0,Champions
12381,5,5,1845.31,5,4,4,13,544,Champions,369.06200000000007,9.28735632183908,70,120,24.0,1,1,0,Champions
12383,185,5,1850.56,1,4,4,9,144,At Risk,370.112,15.474747474747474,84,352,70.4,1,0,0,Champions
12384,29,2,585.27,4,2,3,9,423,New / Promising,292.63500000000005,4.666666666666667,26,122,61.0,2,1,0,Need Attention
12386,338,2,401.9,1,2,2,5,122,Hibernating,200.95,35.4,10,367,183.5,0,0,0,At Risk (used to be loyal)
12388,16,6,2780.66,4,4,5,13,445,Champions,463.4433333333334,14.62,57,327,54.5,1,1,0,Champions
12390,80,1,549.84,2,1,3,6,213,Others,549.84,11.03125,32,80,80.0,2,2,0,Need Attention
12391,22,1,460.89,4,1,2,7,412,New / Promising,460.89,3.0,92,22,22.0,2,2,0,Need Attention
12393,72,4,1582.6000000000001,3,4,4,11,344,Loyal,395.65000000000003,12.75,47,333,83.25,1,0,0,Champions
12394,64,2,1272.48,3,2,4,9,324,Need Attention,636.24,30.333333333333332,26,217,108.5,0,0,0,At Risk (used to be loyal)
12395,19,12,3018.63,4,5,5,14,455,Champions,251.5525,13.576923076923077,91,371,30.916666666666668,1,1,0,Champions
12397,36,2,2409.9,3,2,5,10,325,Need Attention,1204.9500000000003,10.023809523809524,110,135,67.5,1,1,0,Champions
12398,46,1,1635.6599999999999,3,1,4,8,314,Need Attention,1635.6599999999999,16.4,85,46,46.0,2,2,0,Need Attention
12399,119,4,1108.65,2,4,4,10,244,At Risk,277.1625,19.966101694915253,47,262,65.5,1,0,0,Champions
12401,303,1,84.3,1,1,1,3,111,Hibernating,84.3,2.2,5,303,303.0,0,0,0,At Risk (used to be loyal)
12402,323,1,225.6,1,1,1,3,111,Hibernating,225.6,8.545454545454545,11,323,323.0,0,0,0,At Risk (used to be loyal)
12403,50,1,427.7,3,1,2,6,312,Need Attention,427.7,19.2,5,50,50.0,2,2,0,Need Attention
12405,149,1,1710.39,2,1,4,7,214,Others,1710.3900000000003,15.87037037037037,54,149,149.0,0,0,0,At Risk (used to be loyal)
12406,22,2,3415.3,4,2,5,11,425,New / Promising,1707.65,17.314285714285713,92,184,92.0,1,1,0,Champions
12407,50,5,1708.1200000000001,3,4,4,11,344,Loyal,341.6239999999999,18.38961038961039,57,264,52.8,1,0,0,Champions
12408,33,5,2888.55,4,4,5,13,445,Champions,577.71,13.41904761904762,81,260,52.0,1,1,0,Champions
12409,79,3,11072.67,2,3,5,10,235,Others,3690.89,50.92660550458716,91,183,61.0,1,0,-1,Champions
12410,309,2,693.3299999999999,1,2,3,6,123,Others,346.66499999999996,8.115384615384615,26,309,154.5,0,0,0,At Risk (used to be loyal)
12412,75,3,1226.88,2,3,4,9,234,Others,408.96000000000004,13.59016393442623,43,169,56.333333333333336,1,0,0,Champions
12413,67,3,758.1,3,3,3,9,333,Need Attention,252.70000000000002,7.526315789473684,29,337,112.33333333333333,0,0,0,At Risk (used to be loyal)
12414,217,3,562.41,1,3,3,7,133,Others,187.47,16.666666666666668,16,310,103.33333333333333,0,0,0,At Risk (used to be loyal)
12415,24,21,124914.53,4,5,5,14,455,Champions,5948.310952380953,108.36694677871148,444,338,16.095238095238095,1,1,-1,Champions
12417,3,9,3649.1,5,5,5,15,555,Champions,405.4555555555556,8.083333333333334,158,358,39.77777777777778,1,1,0,Champions
12418,113,1,668.58,2,1,3,6,213,Others,668.58,11.970588235294118,34,113,113.0,0,2,0,At Risk (used to be loyal)
12420,64,1,600.39,3,1,3,7,313,Need Attention,600.3900000000001,11.89655172413793,29,64,64.0,2,2,0,Need Attention
12421,16,4,807.04,4,4,3,11,443,Loyal,201.76000000000002,10.755555555555556,32,319,79.75,1,0,0,Champions
12422,96,3,803.5600000000001,2,3,3,8,233,Others,267.8533333333333,9.487179487179487,39,325,108.33333333333333,0,0,0,At Risk (used to be loyal)
12423,1,8,1859.31,5,5,4,14,554,Champions,232.41375,10.712,97,354,44.25,1,1,0,Champions
12424,163,2,1760.96,2,2,4,8,224,Others,880.4799999999998,24.666666666666668,30,163,81.5,0,0,0,At Risk (used to be loyal)
12425,78,1,777.2,2,1,3,6,213,Others,777.1999999999999,13.777777777777779,36,78,78.0,2,2,0,Need Attention
12426,195,1,582.73,1,1,3,5,113,Others,582.73,8.6,30,195,195.0,0,0,0,At Risk (used to be loyal)
12427,22,3,825.8,4,3,3,10,433,Others,275.26666666666665,17.193548387096776,26,372,124.0,0,0,0,At Risk (used to be loyal)
12428,26,9,7956.46,4,5,5,14,455,Champions,884.0511111111111,12.02721088435374,258,284,31.555555555555557,1,1,0,Champions
12429,9,4,3750.4,5,4,5,14,545,Champions,937.6,16.051546391752577,82,366,91.5,1,1,0,Champions
12430,43,1,256.4,3,1,2,6,312,Need Attention,256.4,10.636363636363637,11,43,43.0,2,2,0,Need Attention
12431,36,15,6487.45,3,5,5,13,355,Loyal,432.49666666666667,12.36595744680851,163,374,24.933333333333334,1,1,0,Champions
12432,43,5,5059.32,3,4,5,12,345,Loyal,1011.8639999999998,16.675925925925927,107,172,34.4,1,1,0,Champions
12433,1,7,13375.87,5,5,5,15,555,Champions,1910.8385714285716,26.35952380952381,219,373,53.285714285714285,1,1,-1,Champions
12434,85,2,806.14,2,2,3,7,223,Others,403.07,7.88,46,260,130.0,0,0,0,At Risk (used to be loyal)
12435,80,2,7829.89,2,2,5,9,225,Others,3914.9450000000006,57.083333333333336,31,268,134.0,1,0,-1,Champions
12436,100,1,509.01,2,1,3,6,213,Others,509.01000000000005,13.1875,16,100,100.0,0,2,0,At Risk (used to be loyal)
12437,2,18,4951.41,5,5,5,15,555,Champions,275.0783333333333,14.683417085427136,118,331,18.38888888888889,1,1,0,Champions
12438,14,2,2906.85,4,2,5,11,425,New / Promising,1453.4250000000002,12.040816326530612,84,140,70.0,1,1,0,Champions
12441,367,1,173.55,1,1,1,3,111,Hibernating,173.55,11.0,11,367,367.0,0,0,0,At Risk (used to be loyal)
12442,3,1,172.06,5,1,1,7,511,New / Promising,172.06,15.166666666666666,12,3,3.0,2,2,1,Need Attention
12444,21,5,5005.46,4,4,5,13,445,Champions,1001.092,6.551136363636363,138,171,34.2,1,1,0,Champions
12445,22,1,133.4,4,1,1,6,411,New / Promising,133.4,15.5,4,22,22.0,2,2,0,Need Attention
12446,58,1,1002.3100000000001,3,1,4,8,314,Need Attention,1002.3100000000001,6.157894736842105,57,58,58.0,2,2,0,Need Attention
12447,243,1,476.49,1,1,2,4,112,Hibernating,476.49,7.3076923076923075,26,243,243.0,0,0,0,At Risk (used to be loyal)
12448,44,1,449.45,3,1,2,6,312,Need Attention,449.4500000000001,11.045454545454545,22,44,44.0,2,2,0,Need Attention
12449,22,4,4067.29,4,4,5,13,445,Champions,1016.8225000000001,8.13089005235602,118,187,46.75,1,1,0,Champions
12450,156,2,197.88,2,2,1,5,221,Hibernating,98.94,16.0,7,173,86.5,0,0,0,At Risk (used to be loyal)
12451,11,5,9035.52,5,4,5,14,545,Champions,1807.104,18.573446327683616,265,325,65.0,1,1,0,Champions
12452,17,2,430.57,4,2,2,8,422,New / Promising,215.285,8.409090909090908,21,17,8.5,2,2,0,Need Attention
12453,134,1,707.09,2,1,3,6,213,Others,707.0899999999999,11.0,43,134,134.0,0,2,0,At Risk (used to be loyal)
12454,56,1,3528.34,3,1,5,9,315,Need Attention,3528.34,67.06666666666666,15,56,56.0,2,0,-1,Need Attention
12455,73,6,2466.86,2,4,5,11,245,At Risk,411.14333333333326,23.211111111111112,85,297,49.5,1,0,0,Champions
12456,44,3,3181.04,3,3,5,11,335,Need Attention,1060.3466666666666,13.064,105,255,85.0,1,1,0,Champions
12457,66,7,2363.23,3,5,5,13,355,Loyal,337.6042857142857,13.596774193548388,53,239,34.142857142857146,1,1,0,Champions
12458,71,2,947.4,3,2,4,9,324,Need Attention,473.7,13.31578947368421,35,285,142.5,0,0,0,At Risk (used to be loyal)
12461,94,2,826.88,2,2,3,7,223,Others,413.44,8.2,35,155,77.5,0,0,0,At Risk (used to be loyal)
12462,19,2,1189.59,4,2,4,10,424,New / Promising,594.7950000000001,8.64516129032258,51,303,151.5,1,0,0,Champions
12463,53,4,1344.78,3,4,4,11,344,Loyal,336.19500000000005,9.349397590361447,65,242,60.5,1,0,0,Champions
12464,10,8,1212.05,5,5,4,14,554,Champions,151.50625,3.8620689655172415,6,309,38.625,1,1,0,Champions
12465,17,2,742.1899999999999,4,2,3,9,423,New / Promising,371.095,10.191489361702128,46,169,84.5,1,0,0,Champions
12468,188,2,729.5400000000001,1,2,3,6,123,Others,364.77,9.631578947368421,36,316,158.0,0,0,0,At Risk (used to be loyal)
12471,2,30,19824.05,5,5,5,15,555,Champions,660.8016666666666,17.85217391304348,150,365,12.166666666666666,1,1,0,Champions
